ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:315(__init__)
16,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:317(__getitem__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:314(_ParseResultsWithOffset)
82,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:363(__new__)
82/80,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:372(__init__)
24,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:411(__getitem__)
4,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:420(__setitem__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/requirements.py:18(InvalidRequirement)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/requirements.py:75(Requirement)
1,0.000,0.000,0.021,0.021,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/requirements.py:4(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:183(<genexpr>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:195(_Constants)
95,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:203(<genexpr>)
32,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:209(__init__)
18,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:458(__bool__)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:460(__iter__)
6,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:506(haskeys)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:644(__getattr__)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:666(<lambda>)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:668(<listcomp>)
12,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:663(__iadd__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:324(ParseResults)
26,0.000,0.000,0.002,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1047(extract_stack)
12,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1069(wrapper)
27,0.000,0.000,0.002,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1039(_trim_arity)
335,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1144(__init__)
471,0.000,0.000,0.003,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1167(copy)
45,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1190(setName)
16,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1204(setResultsName)
25,0.000,0.000,0.002,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1250(setParseAction)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1288(addParseAction)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1298(addCondition)
60,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1351(preParse)
46,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1366(postParse)
102/2,0.000,0.000,0.001,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1370(_parseNoCache)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1455(_UnboundedCache)
